1990FleerMLBSoaringStars,1990FleerMLB,Soaring Stars,0
1990FleerAwardWinnersMLBBase,1990FleerAwardWinnersMLB,Base,1
1990ScoreMLBBase,1990ScoreMLB,Base,1
1990BowmanMLBBase,1990BowmanMLB,Base,1
1990KaybeeMLBBase,1990KaybeeMLB,Base,1
1990PostMLBBase,1990PostMLB,Base,1
1990ToppsMLBBase,1990ToppsMLB,Base,1
1990ToppsMLBTraded,1990ToppsMLB,Traded,0
1990ToppsSmallMLBBase,1990ToppsSmallMLB,Base,1
1990WoolworthMLBBase,1990WoolworthMLB,Base,1
1990UpperDeckMLBBase,1990UpperDeckMLB,Base,1
1990SkyboxNBABase,1990SkyboxNBA,Base,1
1990ActionPackedNFLAllMaddenTeam,1990ActionPackedNFL,All Madden Team,0
1990ActionPackedNFLBase,1990ActionPackedNFL,Base,1
1990ActionPackedNFLRookieUpdate,1990ActionPackedNFL,Rookie Update,0
1990FleerNFLAllPro,1990FleerNFL,AllPro,0
1990FleerNFLBase,1990FleerNFL,Base,1
1990FleerNFLUpdate,1990FleerNFL,Update,0
1990StarsandStripesNFLBase,1990StarsandStripesNFL,Base,1
1990PaniniStickersNFLBase,1990PaniniStickersNFL,Base,1
1990ScoreNFLBase,1990ScoreNFL,Base,1
1990ScoreNFLHotCards,1990ScoreNFL,Hot Cards,0
1990ScoreNFLSupplemental,1990ScoreNFL,Supplemental,0
1990ProsetNFLBase,1990ProsetNFL,Base,1
1990ProsetNFLCollectaBook,1990ProsetNFL,CollectaBook,0
1990ProsetNFLInserts,1990ProsetNFL,Inserts,0
1990ProsetNFLSuperBowlMVPs,1990ProsetNFL,Super Bowl MVPs,0
1990ProsetNFLSuperBowls,1990ProsetNFL,Super Bowls,0
1990SwellNFLBase,1990SwellNFL,Base,1
1990ToppsNFL1000Yd,1990ToppsNFL,1000 Yd,0
1990ToppsNFLBase,1990ToppsNFL,Base,1
1990ToppsNFLTraded,1990ToppsNFL,Traded,0
1991ActionPackedNFL24KGold,1991ActionPackedNFL,24K Gold,0
1991ActionPackedNFLBase,1991ActionPackedNFL,Base,1
1991ActionPackedNFLRookieUpdate,1991ActionPackedNFL,Rookie Update,0
1991ActionPackedNFLRookies24KGold,1991ActionPackedNFL,Rookies 24K Gold,0
1991HallofFameNFLBase,1991HallofFameNFL,Base,1
1991FleerNFLAllPro,1991FleerNFL,All Pro,0
1991FleerNFLBase,1991FleerNFL,Base,1
1991FleerNFLProVisions,1991FleerNFL,Pro Visions,0
1991StarsandStripesNFLBase,1991StarsandStripesNFL,Base,1
1991UltraNFLBase,1991UltraNFL,Base,1
1991UltraNFLUltraAllStars,1991UltraNFL,Ultra All Stars,0
1991UltraNFLUltraPerformances,1991UltraNFL,Ultra Performances,0
1991UltraNFLUpdate,1991UltraNFL,Update,0
1991PacificNFLBase,1991PacificNFL,Base,1
1991PacificNFLPicksthePros,1991PacificNFL,Picks the Pros,0
1991PinnacleNFLBase,1991PinnacleNFL,Base,1
1991ScoreNFLBase,1991ScoreNFL,Base,1
1991ScoreNFLHotRookies,1991ScoreNFL,Hot Rookies,0
1991ScoreNFLSupplemental,1991ScoreNFL,Supplemental,0
1991ProLineNFLBase,1991ProLineNFL,Base,1
1991ProLineNFLPortraitWives,1991ProLineNFL,Portrait Wives,0
1991ProLineNFLPortraitsCollectibles,1991ProLineNFL,Portraits Collectibles,0
1991ProsetNFLBase,1991ProsetNFL,Base,1
1991ProsetNFLInserts,1991ProsetNFL,Inserts,0
1991ProsetPlatinumNFLBase,1991ProsetPlatinumNFL,Base,1
1991ProsetPlatinumNFLPlatinumPC,1991ProsetPlatinumNFL,Platinum PC,0
1991BowmanNFLBase,1991BowmanNFL,Base,1
1991StadiumClubNFLBase,1991StadiumClubNFL,Base,1
1991ToppsNFLBase,1991ToppsNFL,Base,1
1991DominosNFLBase,1991DominosNFL,Base,1
1991DominosNFLQuarterbackChallenge,1991DominosNFL,Quarterback Challenge,0
1991SPNFLBase,1991SPNFL,Base,1
1991UpperDeckNFLBase,1991UpperDeckNFL,Base,1
1991UpperDeckNFLGameBreakerHolograms,1991UpperDeckNFL,Game Breaker Holograms,0
1991UpperDeckNFLJoeMonanaHeros,1991UpperDeckNFL,Joe Monana Heroes,0
1991UpperDeckNFLJoeNamathHeroes,1991UpperDeckNFL,Joe Namath Heroes,0
1991UpperDeckNFLSP,1991UpperDeckNFL,SP,0
1991WildcardNFL10,1991WildcardNFL,10,0
1991WildcardNFLBase,1991WildcardNFL,Base,1
1992ActionPackedNFL24KGold,1992ActionPackedNFL,24K Gold,0
1992ActionPackedNFLAllMaddenTeam,1992ActionPackedNFL,All Madden Team,0
1992ActionPackedNFLBase,1992ActionPackedNFL,Base,1
1992ActionPackedNFLRookieUpdate,1992ActionPackedNFL,Rookie Update,0
1992ActionPackedNFLRookies24KGold,1992ActionPackedNFL,Rookies 24K Gold,0
1992AWSportsNFLBase,1992AWSportsNFL,Base,1
1992AWSportsNFLGreats/Rookies,1992AWSportsNFL,Greats/Rookies,0
1992AWSportsNFLLegendsandRookies,1992AWSportsNFL,Legends and Rookies,0
1992CollectorsEdgeNFLBase,1992CollectorsEdgeNFL,Base,1
1992DogtagsNFLBase,1992DogtagsNFL,Base,1
1992FleerNFLAllPro,1992FleerNFL,All Pro,0
1992FleerNFLBase,1992FleerNFL,Base,1
1992FleerNFLMarkRypien,1992FleerNFL,Mark Rypien,0
1992FleerNFLRookieSensations,1992FleerNFL,Rookie Sensations,0
1992UltraNFLAwardWinners,1992UltraNFL,Award Winners,0
1992UltraNFLBase,1992UltraNFL,Base,1
