BronkoNagurski,NFL,Attempts,77,Completions,32,Yards,474,TDs,7,INTs,9,Rating
BronkoNagurski,NFL,Attempts,633,Yards,2778,TDs,25,,,,,
BronkoNagurski,NFL,Receptions,11,Yards,134,TDs,0,,,,,
RogerWehrli,NFL,Attempts,5,Yards,45,TDs,1,,,,,
CharlieSanders,NFL,Attempts,4,Yards,-6,TDs,0,,,,,
CharlieSanders,NFL,Receptions,336,Yards,4817,TDs,31,,,,,
NightTrainLane,NFL,Receptions,8,Yards,253,TDs,1,,,,,
YATittle,NFL,Attempts,4395,Completions,2427,Yards,33070,TDs,242,INTs,248,Rating
YATittle,NFL,Attempts,372,Yards,1245,TDs,39,,,,,
YATittle,NFL,Receptions,1,Yards,4,TDs,0,,,,,
GinoMarchetti,NFL,Receptions,1,Yards,36,TDs,1,,,,,
TomFears,NFL,Attempts,5,Yards,15,TDs,0,,,,,
TomFears,NFL,Receptions,400,Yards,5397,TDs,38,,,,,
John HenryJohnson,NFL,Attempts,5,Completions,2,Yards,25,TDs,2,INTs,1,Rating
John HenryJohnson,NFL,Attempts,1571,Yards,6803,TDs,2,,,,,
John HenryJohnson,NFL,Receptions,186,Yards,1478,TDs,7,,,,,
Frank Gifford,NFL,Attempts,63,Completions,29,Yards,823,TDs,14,INTs,6,Rating
Frank Gifford,NFL,Attempts,840,Yards,3609,TDs,14,,,,,
Frank Gifford,NFL,Receptions,367,Yards,5434,TDs,43,,,,,
Sid Luckman,NFL,Attempts,1744,Completions,904,Yards,14686,TDs,137,INTs,132,Rating
Sid Luckman,NFL,Attempts,204,Yards,-239,TDs,137,,,,,
Sid Luckman,NFL,Receptions,1,Yards,15,TDs,0,,,,,
Clarke Hinkle,NFL,Attempts,54,Completions,26,Yards,316,TDs,0,INTs,5,Rating
Clarke Hinkle,NFL,Attempts,1171,Yards,3860,TDs,0,,,,,
Clarke Hinkle,NFL,Receptions,49,Yards,537,TDs,9,,,,,
Dante Lavelli,NFL,Attempts,2,Yards,23,TDs,0,,,,,
Dante Lavelli,NFL,Receptions,386,Yards,6488,TDs,62,,,,,
Bob Waterfield,NFL,Attempts,1617,Completions,814,Yards,11849,TDs,97,INTs,128,Rating
Bob Waterfield,NFL,Attempts,75,Yards,21,TDs,97,,,,,
Bob Waterfield,NFL,Receptions,3,Yards,19,TDs,0,,,,,
Arnie Weinmeister,NFL,Receptions,1,Yards,16,TDs,0,,,,,
Emlen Tunnell,NFL,Attempts,2,Completions,1,Yards,23,TDs,0,INTs,0,Rating
Emlen Tunnell,NFL,Attempts,17,Yards,43,TDs,0,,,,,
Emlen Tunnell,NFL,Receptions,5,Yards,39,TDs,0,,,,,
Hugh McElhenny,NFL,Attempts,7,Completions,2,Yards,13,TDs,1,INTs,1,Rating
Hugh McElhenny,NFL,Attempts,1124,Yards,5281,TDs,1,,,,,
Hugh McElhenny,NFL,Receptions,264,Yards,3247,TDs,20,,,,,
Marion Motley,NFL,Attempts,828,Yards,4720,TDs,0,,,,,
Marion Motley,NFL,Receptions,85,Yards,1107,TDs,7,,,,,
Andy Robustelli,NFL,Receptions,2,Yards,75,TDs,1,,,,,
Don Hutson,NFL,Attempts,11,Completions,1,Yards,38,TDs,1,INTs,2,Rating
Don Hutson,NFL,Attempts,62,Yards,284,TDs,1,,,,,
Don Hutson,NFL,Receptions,488,Yards,7991,TDs,99,,,,,
Benny Friedman,NFL,Attempts,167,Completions,70,Yards,929,TDs,66,INTs,19,Rating
Benny Friedman,NFL,Attempts,152,Yards,458,TDs,66,,,,,
Benny Friedman,NFL,Receptions,5,Yards,67,TDs,0,,,,,
Arnie Herber,NFL,Attempts,1175,Completions,481,Yards,8041,TDs,81,INTs,106,Rating
Arnie Herber,NFL,Attempts,250,Yards,116,TDs,81,,,,,
Arnie Herber,NFL,Receptions,11,Yards,155,TDs,3,,,,,
Ollie Matson,NFL,Attempts,15,Completions,5,Yards,119,TDs,0,INTs,1,Rating
Ollie Matson,NFL,Attempts,1170,Yards,5173,TDs,0,,,,,
Ollie Matson,NFL,Receptions,222,Yards,3285,TDs,23,,,,,
Ace Parker,NFL,Attempts,718,Completions,335,Yards,4698,TDs,30,INTs,50,Rating
Ace Parker,NFL,Attempts,498,Yards,1292,TDs,30,,,,,
Ace Parker,NFL,Receptions,8,Yards,229,TDs,3,,,,,
Alex Wojciechowicz,NFL,Receptions,4,Yards,44,TDs,0,,,,,
Otto Graham,NFL,Attempts,2626,Completions,1464,Yards,23584,TDs,174,INTs,135,Rating
Otto Graham,NFL,Attempts,405,Yards,882,TDs,174,,,,,
Bobby Layne,NFL,Attempts,3700,Completions,1814,Yards,26768,TDs,196,INTs,243,Rating
Bobby Layne,NFL,Attempts,611,Yards,2451,TDs,196,,,,,
Jim Finks,NFL,Attempts,1382,Completions,661,Yards,8622,TDs,55,INTs,88,Rating
Jim Finks,NFL,Attempts,118,Yards,294,TDs,55,,,,,
Jim Finks,NFL,Receptions,1,Yards,17,TDs,1,,,,,
Joe Stydahar,NFL,Receptions,1,Yards,9,TDs,0,,,,,
George Connor,NFL,Receptions,5,Yards,89,TDs,0,,,,,
Jack Christiansen,NFL,Attempts,19,Yards,143,TDs,0,,,,,
Jack Christiansen,NFL,Receptions,3,Yards,32,TDs,0,,,,,
Ray Flaherty,NFL,Attempts,4,Completions,3,Yards,33,TDs,0,INTs,0,Rating
Ray Flaherty,NFL,Receptions,41,Yards,626,TDs,20,,,,,
George McAfee,NFL,Attempts,22,Completions,6,Yards,94,TDs,3,INTs,1,Rating
George McAfee,NFL,Attempts,341,Yards,1685,TDs,3,,,,,
George McAfee,NFL,Receptions,85,Yards,1359,TDs,11,,,,,
Elroy Hirsch,NFL,Attempts,22,Completions,12,Yards,156,TDs,1,INTs,2,Rating
Elroy Hirsch,NFL,Attempts,207,Yards,687,TDs,1,,,,,
Elroy Hirsch,NFL,Receptions,387,Yards,7029,TDs,60,,,,,
Red Grange,NFL,Attempts,71,Completions,24,Yards,346,TDs,10,INTs,10,Rating
Red Grange,NFL,Attempts,170,Yards,569,TDs,10,,,,,
Red Grange,NFL,Receptions,16,Yards,288,TDs,10,,,,,
Len Ford,NFL,Receptions,67,Yards,1175,TDs,8,,,,,
Bill Dudley,NFL,Attempts,222,Completions,81,Yards,985,TDs,6,INTs,17,Rating
Bill Dudley,NFL,Attempts,765,Yards,3057,TDs,6,,,,,
Bill Dudley,NFL,Receptions,123,Yards,1383,TDs,18,,,,,
Wayne Millner,NFL,Attempts,14,Yards,62,TDs,0,,,,,
Wayne Millner,NFL,Receptions,124,Yards,1578,TDs,12,,,,,
Bruiser Kinard,NFL,Receptions,5,Yards,62,TDs,1,,,,,
Leo Nomellini,NFL,Attempts,1,Yards,5,TDs,0,,,,,
Ken Strong,NFL,Attempts,52,Completions,20,Yards,380,TDs,6,INTs,5,Rating
Ken Strong,NFL,Attempts,379,Yards,1228,TDs,6,,,,,
Ken Strong,NFL,Receptions,22,Yards,254,TDs,7,,,,,
Tuffy Leemans,NFL,Attempts,383,Completions,167,Yards,2318,TDs,25,INTs,32,Rating
Tuffy Leemans,NFL,Attempts,919,Yards,3132,TDs,25,,,,,
Tuffy Leemans,NFL,Receptions,28,Yards,422,TDs,3,,,,,
Tony Canadeo,NFL,Attempts,268,Completions,105,Yards,1642,TDs,16,INTs,20,Rating
Tony Canadeo,NFL,Attempts,1025,Yards,4197,TDs,16,,,,,
Tony Canadeo,NFL,Receptions,69,Yards,579,TDs,5,,,,,
Mel Hein,NFL,Attempts,1,Yards,1,TDs,0,,,,,
Mel Hein,NFL,Receptions,2,Yards,20,TDs,0,,,,,
Bulldog Turner,NFL,Attempts,1,Yards,48,TDs,0,,,,,
Bulldog Turner,NFL,Receptions,1,Yards,2,TDs,0,,,,,
Red Badgro,NFL,Receptions,35,Yards,560,TDs,7,,,,,
Lou Groza,NFL,Attempts,4,Completions,1,Yards,-7,TDs,0,INTs,1,Rating
Lou Groza,NFL,Receptions,1,Yards,23,TDs,1,,,,,
Pete Pihos,NFL,Attempts,9,Yards,-4,TDs,0,,,,,
Pete Pihos,NFL,Receptions,373,Yards,5619,TDs,61,,,,,
