2004,6-Feb-05,New England Patriots,24–21,,Philadelphia Eagles,Alltel Stadium,"Jacksonville, Florida","78,125",XXXIX,DeionBranch
2005,5-Feb-06,Pittsburgh Steelers,21–10,,Seattle Seahawks,Ford Field,"Detroit, Michigan","68,206",XL,HinesWard
2006,4-Feb-07,Indianapolis Colts,29–17,,Chicago Bears,Dolphin Stadium,"Miami Gardens, Florida","74,512",XLI,PeytonManning
2007,3-Feb-08,New York Giants,17–14,,New England Patriots,University of Phoenix Stadium,"Glendale, Arizona","71,101",XLII,EliManning
2008,1-Feb-09,Pittsburgh Steelers,27–23,,Arizona Cardinals,Raymond James Stadium,"Tampa, Florida","70,774",XLIII,SantonioHolmes
2009,7-Feb-10,New Orleans Saints,31–17,,Indianapolis Colts,Sun Life Stadium,"Miami Gardens, Florida","74,059",XLIV,DrewBrees
2010,6-Feb-11,Green Bay Packers,31–25,,Pittsburgh Steelers,Cowboys Stadium,"Arlington, Texas","103,219",XLV,AaronRodgers
2011,5-Feb-12,New York Giants,21–17,,New England Patriots,Lucas Oil Stadium,"Indianapolis, Indiana","68,658",XLVI,EliManning
2012,3-Feb-13,Baltimore Ravens,34–31,,San Francisco 49ers,Mercedes-Benz Superdome,"New Orleans, Louisiana","71,024",XLVII,JoeFlacco
2013,2-Feb-14,Seattle Seahawks,43–8,,Denver Broncos,MetLife Stadium,"East Rutherford, New Jersey","82,529",XLVIII,MalcolmSmith
2014,1-Feb-15,New England Patriots,28–24,,Seattle Seahawks,University of Phoenix Stadium,"Glendale, Arizona","70,288",XLIX,TomBrady
2015,7-Feb-16,Denver Broncos,24–10,,Carolina Panthers,Levi's Stadium,"Santa Clara, California","71,088",L,VonMiller
2016,5-Feb-17,New England Patriots,34–28,OT,Atlanta Falcons,NRG Stadium,"Houston, Texas","70,807",LI,TomBrady
2017,4-Feb-18,Philadelphia Eagles,41–33,,New England Patriots,U.S. Bank Stadium,"Minneapolis, Minnesota","67,612",LII,NickFoles
2018,3-Feb-19,New England Patriots,13–3 ,,Los Angeles Rams,Mercedes-Benz Stadium,"Atlanta, Georgia","70,081",LIII,JulianEdelman
