NFL1984,4,112,Tampa Bay Buccaneers,RonHeller,Ron,Heller,,Tackle,PennState
NFL1984,5,113,Dallas Cowboys,StevePelluer,Steve,Pelluer,,Quarterback,Washington
NFL1984,5,114,Houston Oilers,RobertLyles,Robert,Lyles,,Linebacker,TexasChristian
NFL1984,5,115,New York Giants,ClintHarris,Clint,Harris,,Cornerback,EastCarolina
NFL1984,5,116,Philadelphia Eagles,AndreHardy,Andre,Hardy,,Running back,St.MarysCA
NFL1984,5,117,Kansas City Chiefs,EricHolle,Eric,Holle,,Defensive end,Texas
NFL1984,5,118,San Diego Chargers,LionelJames,Lionel,James,,Running back,Auburn
NFL1984,5,119,Cincinnati Bengals,BarneyBussey,Barney,Bussey,,Safety,SouthCarolinaState
NFL1984,5,120,Indianapolis Colts,GoldenTate-1984,Golden,Tate,,Wide receiver,TennesseeState
NFL1984,5,121,San Francisco 49ers,MichaelCarter,Michael,Carter,,Defensive tackle,SouthernMethodist
NFL1984,5,122,New York Jets,TronArmstrong,Tron,Armstrong,,Wide receiver,EasternKentucky
NFL1984,5,123,New Orleans Saints,JitterFields,Jitter,Fields,,Defensive back,Texas
NFL1984,5,124,New England Patriots,PaulFairchild,Paul,Fairchild,,Guard,Kansas
NFL1984,5,125,Washington Redskins,JeffPegues,Jeff,Pegues,,Linebacker,EastCarolina
NFL1984,5,126,Green Bay Packers,TomFlynn,Tom,Flynn,,Safety,Pittsburgh
NFL1984,5,127,Los Angeles Raiders,AndyParker,Andy,Parker,,Tight end,Utah
NFL1984,5,128,Buffalo Bills,JohnKidd,John,Kidd,,Punter,Northwestern
NFL1984,5,129,St Louis Cardinals,JeffLeiding,Jeff,Leiding,,Linebacker,Texas
NFL1984,5,130,Indianapolis Colts,KevinCall,Kevin,Call,,Tackle,ColoradoState
NFL1984,5,131,Cleveland Browns,DavePiepkorn,Dave,Piepkorn,,Tackle,NorthDakotaState
NFL1984,5,132,Atlanta Falcons,CliffBenson,Cliff,Benson,,Tight end,Purdue
NFL1984,5,133,Los Angeles Rams,HalStephens,Hal,Stephens,,Defensive end,EastCarolina
NFL1984,5,134,Kansas City Chiefs,JeffPaine,Jeff,Paine,,Linebacker,TexasA&M
NFL1984,5,135,Pittsburgh Steelers,VanHughes,Van,Hughes,,Defensive tackle,SouthwestTexasState
NFL1984,5,136,St Louis Cardinals,JohnGoode,John,Goode,,Tight end,YoungstownState
NFL1984,5,137,Dallas Cowboys,NormGranger,Norm,Granger,,Running back,Iowa
NFL1984,5,138,Miami Dolphins,DeanMay,Dean,May,,Quarterback,Louisville
NFL1984,5,139,San Francisco 49ers,JeffFuller,Jeff,Fuller,,Linebacker,TexasA&M
NFL1984,5,140,Minnesota Vikings,AllenRice,Allen,Rice,,Running back,Baylor
NFL1984,6,141,Houston Oilers,JohnGrimsley,John,Grimsley,,Linebacker,Kentucky
NFL1984,6,142,Tampa Bay Buccaneers,ChrisWashington,Chris,Washington,,Linebacker,IowaState
NFL1984,6,143,New York Giants,JimScott,Jim,Scott,,Defensive end,Clemson
NFL1984,6,144,Philadelphia Eagles,ScottRaridon,Scott,Raridon,,Tackle,Nebraska
